,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,data_frame,cv_train_size,cv_test_size,lag_time,scoring_method,features_to_use
0,0.0013094186782836915,0.00012692525829249607,0.0005088567733764649,3.388045454573438e-05,{},-2.9282328235103705,-6.478948188235535,-3.579489229355204,-5.701937029314013,-4.9304339143859695,-2.5004263574561265,-7.012956079138144,-6.361262572024498,-18.639826340471245,-7.680858015221088,-6.58143705491122,4.351669104269446,1,finbert_tone_whole_article_sentiment_df,10,5,5,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
0,0.0011659383773803711,9.555060260116961e-05,0.0004642248153686523,1.2600348597794199e-05,{},-3.064280823175454,-7.755009193036676,-16.03909087935562,-3.676495965719005,-2.5794985651456956,-3.337253745885073,-2.498716049910132,-6.955310746121176,-20.167757327826983,-4.207204157863453,-7.028061745403927,5.858434362034813,1,finbert_tone_whole_article_sentiment_df,10,5,30,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
0,0.0011650323867797852,0.00010588336596230292,0.00047607421875,2.652920716015565e-05,{},-5.239562079728057,-3.5576588117706933,-10.73916555402684,-6.936220030858863,-1.5221244257626267,-4.155717162126711,-5.903663660834718,-3.627850425041106,-3.7043965233180076,-7.649438473505915,-5.303579714697355,2.492168694286918,1,bert_topic_article_sentiment_df,10,5,0,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
0,0.0011780261993408203,0.0001257970170063795,0.0004766702651977539,2.0300624502094676e-05,{},-5.777571167634233,-5.145915742801662,-2.8723261027274476,-4.476873610969233,-9.499250919146812,-3.434508775288441,-9.657265055675452,-4.511955491930621,-6.3701308985340805,-6.6912898231560005,-5.843708758786398,2.183304098242695,1,bert_topic_article_sentiment_df,10,5,5,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
0,0.0012331247329711915,0.00015733875733603013,0.000482177734375,3.340910471419144e-05,{},-3.298622743607166,-8.297630658144783,-15.811423949158689,-5.054958653294307,-2.7588086804542398,-4.202021259671346,-2.104850000415354,-3.56644296081497,-8.615724567467897,-7.605149798554453,-6.13156332715832,3.9218817254047833,1,bert_topic_article_sentiment_df,10,5,30,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
0,0.0011735677719116211,0.00010388623064086047,0.0004735708236694336,2.221596806432347e-05,{},-2.7653996066977924,-4.0922847266547135,-5.353586671861694,-4.372294492996696,-2.702978624727166,-3.2430185686989716,-1.777962298625971,-3.8531832477038277,-1.720663669455098,-4.272973050601808,-3.4154344958023737,1.121185391321304,1,finbert_summary_sentiment_df,20,5,0,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
0,0.0012854814529418945,9.732362336716231e-05,0.0004940032958984375,1.843393495567103e-05,{},-2.462463606681041,-4.27146170220185,-4.668566658596876,-3.558192499037432,-2.2404742889826705,-4.058180570384593,-2.04228514882534,-3.231085604928012,-4.098199109121651,-4.322308650084051,-3.495321783884352,0.9038585213478599,1,finbert_summary_sentiment_df,20,5,5,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
0,0.001179647445678711,0.00011732717568249554,0.00047235488891601564,2.1907229667510398e-05,{},-3.1766700234557903,-5.93010902739079,-7.735944211982496,-2.5114678258118603,-2.53714112088025,-2.5323329575227036,-2.181353880642291,-7.392091829695488,-2.8428350753988525,-2.259587597683037,-3.909953355046356,2.096925025914317,1,finbert_summary_sentiment_df,20,5,30,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
0,0.0011991739273071289,0.00015207693298764592,0.0004715442657470703,1.787687880426783e-05,{},-2.9308011975545014,-4.5003744589430426,-3.358940048436716,-6.07248342144012,-1.539862904108304,-3.6595148658472683,-1.773337080304009,-2.9057233243775955,-3.724838927700921,-2.5702085120155203,-3.3036084740728002,1.252748405341916,1,finbert_tone_summary_sentiment_df,20,5,0,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
0,0.0011696577072143554,0.0001351686352773074,0.000472569465637207,4.066409720976024e-05,{},-2.980611857229815,-5.303539458730484,-3.88732297237857,-2.597579352710818,-1.927649226284484,-4.266788510380866,-1.2984360083148203,-3.2555897204925714,-5.574395090750341,-9.197598867102306,-4.028951106437507,2.1545678873969982,1,finbert_tone_summary_sentiment_df,20,5,5,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
